rank,drug_name,broad_id,smiles,affinity_kcal_mol
32,tegobuvir,BRD-K26701552-001-02-9,Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1,-12.207
33,AV-608,BRD-K96615647-001-02-9,O=C(N[C@H]1CCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](Cc2ccc(Cl)cc2)C1)c1ccnc2ccccc12,-12.203
34,PIK-294,BRD-K50631926-001-03-9,Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,-12.197
35,R306465,BRD-K86687746-001-01-3,O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1,-12.160
36,seletalisib,BRD-K00003228-001-01-9,[O-][n+]1cccc(-c2nc3c(Cl)cccc3cc2[C@@H](Nc2ncnc3cccnc23)C(F)(F)F)c1,-12.158
37,XL147,BRD-K95901403-001-04-5,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,-12.153
38,NDT-9513727,BRD-K17539220-001-01-5,CCCCn1c(-c2ccccc2)nc(-c2ccccc2)c1CN(Cc1ccc2c(c1)OCO2)Cc1ccc2c(c1)OCO2,-12.146
39,ritanserin,BRD-K40887525-001-23-5,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-12.140
40,BMS-986158,BRD-K00003423-001-01-9,Cc1nnn(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n([C@H](c3ccccc3)C3CCOCC3)c2c1,-12.131
41,eltrombopag,BRD-K00003572-001-01-9,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=NNc1cccc(-c2cccc(C(=O)O)c2)c1O,-12.123
42,AZD3839,BRD-K00004606-001-01-9,NC1=N[C@@](c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)F)c2)c2cccc(F)c21,-12.120
43,dofequidar,BRD-A14941520-051-01-0,O=C(C(c1ccccc1)c1ccccc1)N1CCN(CC(O)COc2cccc3ncccc23)CC1,-12.120
44,dasabuvir,BRD-K02943813-001-01-9,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,-12.119
45,galeterone,BRD-K00004319-001-01-9,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,-12.114
46,deltarasin,BRD-K90830492-305-01-4,c1ccc(Cn2c(-c3ccc(OC[C@H](C4CCNCC4)n4c(-c5ccccc5)nc5ccccc54)cc3)nc3ccccc32)cc1,-12.113
47,SDZ-NKT-343,BRD-K65820248-001-02-6,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1CCCN1C(=O)Nc1ccccc1[N+](=O)[O-],-12.110
48,MK-2295,BRD-K43316319-001-01-8,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,-12.097
49,naltriben,BRD-K81275354-066-07-9,Oc1ccc2c3c1O[C@H]1c4oc5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,-12.085
50,olaparib,BRD-K02113016-001-19-6,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,-12.085
