rank,drug_name,broad_id,smiles,affinity_kcal_mol
36,IKK-2-inhibitor-V,BRD-K74305673-001-07-0,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,-10.844
37,raltegravir,BRD-K05658747-001-02-9,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,-10.844
38,eltrombopag,BRD-K00003572-001-01-9,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=NNc1cccc(-c2cccc(C(=O)O)c2)c1O,-10.839
39,pirenoxine,BRD-K65992024-001-01-5,O=C(O)c1cc(=O)c2c3nc4ccccc4oc-3cc(=O)c2[nH]1,-10.833
40,JNJ-38877618,BRD-K00003094-001-01-9,FC(F)(c1ccc2ncccc2c1)c1nnc2ccc(-c3ccncc3)nn12,-10.827
41,SP-100030,BRD-K71900389-001-01-9,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)F,-10.810
42,setipiprant,BRD-K24497734-001-01-6,O=C(O)Cn1c2c(c3cc(F)ccc31)CN(C(=O)c1cccc3ccccc13)CC2,-10.809
43,EN460,BRD-K86063171-001-03-7,O=C(O)c1cc(N2N=C(C(F)(F)F)C(=Cc3ccc(-c4ccccc4)o3)C2=O)ccc1Cl,-10.797
44,apalutamide,BRD-K91308639-001-02-7,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,-10.777
45,TMN-355,BRD-K24527118-001-01-6,O=C(NC(=O)c1c(F)cccc1Cl)NC1c2ccccc2-c2ccccc21,-10.776
46,tucatinib,BRD-K26026438-001-01-0,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,-10.776
47,MK-2295,BRD-K43316319-001-01-8,FC(F)(F)c1ccc(Nc2ncnc3cc(-c4ncccc4C(F)(F)F)ccc23)cc1,-10.764
48,entrectinib,BRD-K39009484-001-01-4,CN1CCN(c2ccc(C(=O)Nc3[nH]nc4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,-10.759
49,CKD-712,BRD-A26458246-004-02-1,Oc1cc2c(cc1O)[C@H](Cc1cccc3ccccc13)NCC2,-10.749
50,T-5601640,BRD-K83492904-001-03-9,Cc1cc(C(=O)Nc2cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c2)on1,-10.740
