compounds=6389  already_done=0  todo=6389
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[62/6389] BRD-A51407134-001-02-7 -5.75 (passes -5.75)                1.6s/lig ETA 163.7m
[63/6389] BRD-A55464252-001-01-2 -7.78 (passes -7.78)                1.6s/lig ETA 165.6m
[64/6389] BRD-K63932022-001-02-3 -8.11 (passes -8.11)                1.6s/lig ETA 163.4m
[65/6389] BRD-A43598550-001-09-4 -9.22 (passes -9.22)                1.6s/lig ETA 165.7m
[66/6389] BRD-K49721826-001-02-7 -5.66 (passes -5.66)                1.6s/lig ETA 168.7m
[67/6389] BRD-K96631475-001-03-2 -5.12 (passes -5.12)                1.6s/lig ETA 167.4m
[68/6389] BRD-K00004218-003-01-9 -8.30 (passes -8.30)                1.6s/lig ETA 165.4m
[69/6389] BRD-K24689407-001-07-1 -7.35 (passes -7.35)                1.6s/lig ETA 165.6m
[70/6389] BRD-K00004535-001-01-9 FAIL(prep: 3D embedding failed)     1.6s/lig ETA 164.1m
[71/6389] BRD-K38370968-050-02-9 -8.31 (passes -8.31)                1.5s/lig ETA 163.0m
[72/6389] BRD-K92980438-001-05-8 -4.06 (passes -4.06)                1.5s/lig ETA 161.2m
[73/6389] BRD-K77087341-001-02-4 -6.51 (passes -6.51)                1.5s/lig ETA 159.5m
[74/6389] BRD-A52169337-001-01-9 -8.30 (passes -8.30)                1.5s/lig ETA 158.3m
[75/6389] BRD-K76592088-001-02-1 -6.95 (passes -6.95)                1.5s/lig ETA 158.3m
[76/6389] BRD-K61585876-001-01-0 -7.07 (passes -7.07)                1.5s/lig ETA 157.3m
[77/6389] BRD-A26105646-001-06-1 -7.90 (passes -7.90)                1.5s/lig ETA 159.0m
[78/6389] BRD-K00005345-001-01-9 -6.88 (passes -6.88)                1.5s/lig ETA 157.1m
[79/6389] BRD-A79431551-001-01-1 -8.06 (passes -8.06)                1.5s/lig ETA 155.5m
[80/6389] BRD-A66143912-001-01-1 -7.00 (passes -7.00)                1.5s/lig ETA 153.9m
[81/6389] BRD-K77791657-001-01-1 -7.64 (passes -7.64)                1.4s/lig ETA 152.1m
[82/6389] BRD-K43187796-001-02-3 -7.24 (passes -7.24)                1.4s/lig ETA 150.3m
[83/6389] BRD-K28343777-001-01-6 -7.07 (passes -7.07)                1.4s/lig ETA 148.9m
[84/6389] BRD-A87125127-001-02-2 -6.16 (passes -6.16)                1.4s/lig ETA 150.2m
[85/6389] BRD-K82903013-001-02-9 -8.55 (passes -8.55)                1.4s/lig ETA 149.1m
[86/6389] BRD-K37846922-001-09-4 -9.42 (passes -9.42)                1.4s/lig ETA 147.6m
[87/6389] BRD-K06204668-001-03-9 -7.19 (passes -7.19)                1.4s/lig ETA 147.4m
[88/6389] BRD-A49947412-001-03-9 -7.19 (passes -7.19)                1.4s/lig ETA 145.7m
[89/6389] BRD-K86305586-001-03-9 -7.21 (passes -7.21)                1.4s/lig ETA 144.4m
[90/6389] BRD-K42205652-001-02-7 -6.63 (passes -6.63)                1.4s/lig ETA 142.9m
[91/6389] BRD-K57796080-001-04-9 -6.56 (passes -6.56)                1.4s/lig ETA 142.3m
[92/6389] BRD-K97019106-005-02-9 -5.35 (passes -5.35)                1.4s/lig ETA 141.8m
[93/6389] BRD-K00003517-001-01-9 -5.75 (passes -5.75)                1.3s/lig ETA 141.1m
[94/6389] BRD-K58413118-001-01-8 -7.58 (passes -7.58)                1.3s/lig ETA 139.7m
[95/6389] BRD-K65544384-001-15-8 -6.57 (passes -6.57)                1.3s/lig ETA 140.3m
[96/6389] BRD-K39160765-003-03-9 -6.12 (passes -6.12)                1.3s/lig ETA 138.9m
[97/6389] BRD-K62581435-001-04-9 -10.10 (passes -10.10)              1.3s/lig ETA 138.3m
[98/6389] BRD-A80383043-001-03-3 -6.80 (passes -6.80)                1.3s/lig ETA 137.0m
[99/6389] BRD-K74133873-001-01-7 -7.00 (passes -7.00)                1.3s/lig ETA 136.3m
[100/6389] BRD-K49759007-001-12-9 -7.90 (passes -7.90)                1.3s/lig ETA 136.7m
[101/6389] BRD-A54139254-001-10-9 -8.09 (passes -8.09)                1.3s/lig ETA 137.0m
