compounds=6389  already_done=193  todo=6196
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[62/6196] BRD-K63736853-001-06-3 -5.88 (passes -5.88)                2.3s/lig ETA 231.6m
[63/6196] BRD-K79437791-001-05-7 -7.53 (passes -7.53)                2.2s/lig ETA 229.0m
[64/6196] BRD-K74236708-001-02-7 -7.77 (passes -7.77)                2.2s/lig ETA 227.9m
[65/6196] BRD-K13050541-001-01-9 -5.72 (passes -5.72)                2.2s/lig ETA 225.9m
[66/6196] BRD-K62012036-001-14-4 -7.95 (passes -7.95)                2.2s/lig ETA 228.5m
[67/6196] BRD-K00003531-001-01-9 -8.40 (passes -8.40)                2.3s/lig ETA 232.3m
[68/6196] BRD-K00003303-001-01-9 FAIL(vina rc=1: PDBQT parsing err)  2.2s/lig ETA 229.0m
[69/6196] BRD-M87138257-003-01-1 -8.91 (passes -8.91)                2.2s/lig ETA 229.5m
[70/6196] BRD-K97874492-300-10-7 -8.91 (passes -8.91)                2.3s/lig ETA 230.0m
[71/6196] BRD-M49658242-001-04-1 -6.70 (passes -6.70)                2.3s/lig ETA 232.2m
[72/6196] BRD-K00004720-001-01-9 -7.96 (passes -7.96)                2.3s/lig ETA 236.5m
[73/6196] BRD-K74363950-004-02-9 -8.26 (passes -8.26)                2.4s/lig ETA 240.4m
[74/6196] BRD-K50163129-001-02-9 -7.84 (passes -7.84)                2.3s/lig ETA 237.4m
[75/6196] BRD-K33483813-001-13-9 -7.06 (passes -7.06)                2.3s/lig ETA 237.8m
[76/6196] BRD-K56301217-001-10-8 -8.78 (passes -8.78)                2.3s/lig ETA 235.7m
[77/6196] BRD-K08837089-236-01-6 -7.61 (passes -7.61)                2.3s/lig ETA 236.7m
[78/6196] BRD-K44276885-001-06-6 -6.05 (passes -6.05)                2.3s/lig ETA 235.6m
[79/6196] BRD-K19781342-001-02-2 -9.07 (passes -9.07)                2.3s/lig ETA 234.5m
[80/6196] BRD-K34843150-001-03-0 -6.55 (passes -6.55)                2.3s/lig ETA 236.6m
[81/6196] BRD-K32318651-001-26-0 -7.00 (passes -7.00)                2.3s/lig ETA 234.5m
